run,group,paper,unit,default_100,repro_100,viability_pass
with_rulepack,nat_siblings,s41591-024-02807-z,unit_004,75,15,True
with_rulepack,nat_siblings,s41591-024-02807-z,unit_003,83,8,True
with_rulepack,nat_siblings,s41591-024-02807-z,unit_005,83,8,True
with_rulepack,nat_siblings,s41591-024-02807-z,unit_008,83,8,True
with_rulepack,nat_siblings,s41467-024-55567-2,unit_009,58,31,True
with_rulepack,nat_siblings,s41467-024-55567-2,unit_001,33,24,True
with_rulepack,nat_siblings,s41467-024-55567-2,unit_006,57,28,True
with_rulepack,nat_siblings,s41467-024-55567-2,unit_002,37,20,True
with_rulepack,nat_siblings,s41467-024-55567-2,unit_010,61,24,True
with_rulepack,nat_siblings,s41467-024-55567-2,unit_004,50,28,True
with_rulepack,nat_siblings,s41467-024-55567-2,unit_003,63,12,True
with_rulepack,nat_siblings,s41467-024-55567-2,unit_008,42,28,True
with_rulepack,nat_siblings,s41587-023-01747-2,unit_009,42,21,True
with_rulepack,nat_siblings,s41587-023-01747-2,unit_001,83,8,True
with_rulepack,nat_siblings,s41587-023-01747-2,unit_007,83,8,True
with_rulepack,nat_siblings,s41587-023-01747-2,unit_006,83,8,True
with_rulepack,nat_siblings,s41587-023-01747-2,unit_002,58,8,True
with_rulepack,nat_siblings,s41587-023-01747-2,unit_010,83,8,True
with_rulepack,nat_siblings,s41587-023-01747-2,unit_004,83,8,True
with_rulepack,nat_siblings,s41587-023-01747-2,unit_003,67,21,True
with_rulepack,nat_siblings,s41587-023-01747-2,unit_005,83,8,True
with_rulepack,nat_siblings,s41587-023-01747-2,unit_008,83,8,True
with_rulepack,nat_siblings,s41593-021-00923-4,unit_009,58,34,True
with_rulepack,nat_siblings,s41593-021-00923-4,unit_001,60,29,True
with_rulepack,nat_siblings,s41593-021-00923-4,unit_007,51,25,True
with_rulepack,nat_siblings,s41593-021-00923-4,unit_006,70,41,True
with_rulepack,nat_siblings,s41593-021-00923-4,unit_002,83,8,True
with_rulepack,nat_siblings,s41593-021-00923-4,unit_010,67,34,True
with_rulepack,nat_siblings,s41593-021-00923-4,unit_004,46,27,True
with_rulepack,nat_siblings,s41593-021-00923-4,unit_003,63,20,True
with_rulepack,nat_siblings,s41593-021-00923-4,unit_005,67,24,True
with_rulepack,nat_siblings,s41593-021-00923-4,unit_008,58,11,True
with_rulepack,nat_siblings,s41467-021-27464-5,unit_009,67,24,True
with_rulepack,nat_siblings,s41467-021-27464-5,unit_001,76,18,True
with_rulepack,nat_siblings,s41467-021-27464-5,unit_007,67,23,True
with_rulepack,nat_siblings,s41467-021-27464-5,unit_006,50,26,True
with_rulepack,nat_siblings,s41467-021-27464-5,unit_002,60,39,True
with_rulepack,nat_siblings,s41467-021-27464-5,unit_004,46,32,True
with_rulepack,nat_siblings,s41467-021-27464-5,unit_003,61,33,True
with_rulepack,nat_siblings,s41467-021-27464-5,unit_005,75,24,True
with_rulepack,nat_siblings,s41586-023-06473-y,unit_001,50,31,True
with_rulepack,nat_siblings,s41586-023-06473-y,unit_007,58,16,True
with_rulepack,nat_siblings,s41586-023-06473-y,unit_006,75,8,True
with_rulepack,nat_siblings,s41586-023-06473-y,unit_002,28,26,True
with_rulepack,nat_siblings,s41586-023-06473-y,unit_004,83,8,True
with_rulepack,nat_siblings,s41586-023-06473-y,unit_003,61,24,True
with_rulepack,nat_siblings,s41586-023-06473-y,unit_005,58,21,True
with_rulepack,nat_siblings,s41586-023-06473-y,unit_008,83,8,True
with_rulepack,nat_siblings,s41586-018-0024-3,unit_009,83,8,True
with_rulepack,nat_siblings,s41586-018-0024-3,unit_001,58,31,True
with_rulepack,nat_siblings,s41586-018-0024-3,unit_007,58,12,True
with_rulepack,nat_siblings,s41586-018-0024-3,unit_006,77,18,True
with_rulepack,nat_siblings,s41586-018-0024-3,unit_002,51,32,True
with_rulepack,nat_siblings,s41586-018-0024-3,unit_010,75,8,True
with_rulepack,nat_siblings,s41586-018-0024-3,unit_004,50,22,True
with_rulepack,nat_siblings,s41586-018-0024-3,unit_003,60,21,True
with_rulepack,nat_siblings,s41586-018-0024-3,unit_005,56,26,True
